home_id,home_link,kamers,prijs,wonen
Bert Haanstrakade 716,https://funda.nl/huur/amsterdam/appartement-40066353-bert-haanstrakade-716/,3 kamers,€ 1.405 /mnd,85 m²
Bert Haanstrakade 730,https://funda.nl/huur/amsterdam/appartement-40067439-bert-haanstrakade-730/,3 kamers,€ 1.325 /mnd,81 m²
Bert Haanstrakade 772,https://funda.nl/huur/amsterdam/appartement-40067457-bert-haanstrakade-772/,3 kamers,€ 1.345 /mnd,81 m²
Bouwnummer (Bouwnr. 10),https://funda.nl/koop/amsterdam/appartement-40076791-bouwnummer-bouwnr-10/,4 kamers,€ 648.570 v.o.n.,110 m²
Bouwnummer (Bouwnr. 100),https://funda.nl/koop/amsterdam/appartement-40883947-bouwnummer-bouwnr-100/,3 kamers,€ 452.367 v.o.n.,70 m²
Bouwnummer (Bouwnr. 107),https://funda.nl/koop/amsterdam/appartement-40622608-bouwnummer-bouwnr-107/,4 kamers,€ 788.449 v.o.n.,133 m²
Bouwnummer (Bouwnr. 109),https://funda.nl/koop/amsterdam/appartement-40883948-bouwnummer-bouwnr-109/,3 kamers,€ 729.000 v.o.n.,123 m²
Bouwnummer (Bouwnr. 11),https://funda.nl/koop/amsterdam/appartement-40889128-bouwnummer-bouwnr-11/,4 kamers,€ 646.465 v.o.n.,117 m²
Bouwnummer (Bouwnr. 110),https://funda.nl/koop/amsterdam/appartement-40883949-bouwnummer-bouwnr-110/,4 kamers,€ 773.862 v.o.n.,133 m²
Bouwnummer (Bouwnr. 12),https://funda.nl/koop/amsterdam/appartement-40622693-bouwnummer-bouwnr-12/,4 kamers,€ 664.714 v.o.n.,118 m²
Bouwnummer (Bouwnr. 120),https://funda.nl/koop/amsterdam/appartement-40883940-bouwnummer-bouwnr-120/,4 kamers,€ 822.128 v.o.n.,150 m²
Bouwnummer (Bouwnr. 121),https://funda.nl/koop/amsterdam/appartement-40622609-bouwnummer-bouwnr-121/,3 kamers,€ 585.107 v.o.n.,99 m²
Bouwnummer (Bouwnr. 122),https://funda.nl/koop/amsterdam/appartement-40883941-bouwnummer-bouwnr-122/,3 kamers,€ 530.735 v.o.n.,87 m²
Bouwnummer (Bouwnr. 124),https://funda.nl/koop/amsterdam/appartement-40077072-bouwnummer-bouwnr-124/,4 kamers,€ 739.887 v.o.n.,128 m²
